"","agencyAcronym","allowLateComment","attachmentCount","commentDueDate","commentStartDate","commentText","docketId","docketTitle","docketType","documentId","documentStatus","documentType","numberOfCommentsReceived","openForComment","postedDate","submitterName","title","summary","organization","rin"
"1","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","  What is an ELD? It is an electronic logging device that was designed to micromanage large fleets and their drivers performance and productivity.   These devices are to be used as a device for logging a drivers daily hours. Driving time on duty not driving time sleeper berth and off duty. Drivers are afforded a 14 hour day to work. Of that 14 hours they are limited to 11 hours driving. They must also take a mandatory 30 minute ""break"" in the first 8 hours. When the 14 hours are up they are required to take a 10 hour break. Once the clock starts; it doesn't stop for anything. How is this wrong one might ask. Before the straight 14 hour rule; drivers had what was known as split sleeper berth. More rested and safer.  The reason the ELD was developed was because certain large carriers had such horrible safety records the government said they ""had to do something"" to improve their records. These companies safety records are still horrible by the way. How do they ""improve"" their safety records? Well for them they purchase excess equipment keep it legally registered and your accident ratio drops per 100 or 1000.   Being self insured allows the mega carrier to hire freshly graduated students from trucking schools (10 days to 4 weeks training). They then place the graduates with less than all seasons experienced trainers. (4 months in some instances). They then place these ""teams"" on the highways with the general public. This is a recipe for disaster.  An organization known as the ATA (which stands for American Trucking Association) lobbied for this mandate. This organization claims to be the ""authoritative voice of the trucking industry"". While in actuality they represent less than 20% of the industry. The other 80% is comprised of small business owners. (1-20 trucks). They pushed the mandate through under claims of safety. This device has nothing to do with safety. It only monitors what the truck is doing. The safety of the vehicle relies solely on the operator.   How is this an unjust law? It targets owners of vehicles with engines manufactured after a certain date. It has exemptions. These ""exemptions"" alone are proof that the mandate is flawed.   This mandate is an infringement (borderline at the very least) on the 4th and 5th Amendment rights of the constitution of the United States. It places a ""proverbial"" electronic tracking device on your vehicle. The Supreme Court ruled that this practice was not lawful in cases against convicted criminals. Yet they can do it to truckers. (The Supreme Court refused to hear the case).   How do you ensure a multi billion dollar industry will be successful? You mandate it. Then you collect money from hard working men and women to fund it. There are 3.97 million trucks on the highways. Take a conservative figure of 3 million. Then use an average monthly service fee of $32. Multiply those two figures and it equates to $96 million. Multiply that by 12 and you get in excess of 1 billion dollars. That is just for the service fee per year.  This mandate places an unnecessary expense on certain truck owners. Again making it an unjust law.   The ATA with no factual proof estimates that these devices will save 26 lives per year. This estimate is within the margin of error in any poll of 1000. With no factual proof; these devices cannot be referred to as safety items. Remember they are micromanagement tools.   In the passing of this mandate; the government has taken business decisions and freedoms away from small business owners. Now the government wants to micromanage them.   It is a fact by their own statistics that 80% of all accidents involving commercial vehicles and automobiles are caused by the automobile. This was the finding of both the ATA and NHTSA (National Highway Traffic Safety Administration). Yet the trucking industry is punished for them.   There are concerns of cyber security associated with the devices. These units plug in to the ECM of the vehicle. (Electronic control module). This gains the device access to all of the vehicle's functions. The device has the capability to send and receive messages. Can the device be hacked? Why would anyone want to? 80000lbs is a large projectile. Especially if it's a HazMat load. Maybe just a desirable commodity.   It would be better served for safety sake to mandate that ALL vehicles be required to be equipped with breathalyzers and data suspension devices. (Hands free calls only). There would quite possibly be tens of thousands of lives saved on the highways per year.   How do you think you would feel if your vehicle were being electronically tracked 24/7? Without a warrant not committing a crime. Just being tracked. Then at your expense you would feel your rights and freedoms had been violated.  In closing I would like to add that this mandate was never about safety. Moreover about money and control.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-2589","Posted","Public Submission",1,TRUE,"2017-11-28T00:00:00-05:00","Riley Clay","Comment from Riley  Clay",NA,NA,NA
"2","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","Agency Name: Federal Motor Carrier Safety AdministrationDocket Number: DOT-OST-2017-0069The specific reference that I am commenting on is ELD general: 49 CFR 395 Subpart BThis regulation is burdensome because it will put owner operators and small fleets out of business. This is being pushed by the ATA because the mega carriers want to put the small guys all out of business; this is what it is intended for.  The added cost of ELDs are easily absorbed for the mega carriers but it is an added burden on the small independent carriers in an industry that is already nickel and diming us every day.Forcing all Truck Drivers to be GPS tracked with ELDs/EOBRs is a gross violation of our 4th amendment rights. The Supreme Court has ruled twice that it is a violation of privacy rights granted in the 4th amendment. Truckers haven't done anything wrong we should not be tracked like criminals. The ELDs have been proven to be high risk for hacking and cyber attacks. Lets be real while I always follow the hours of service rules there are times that there is a need for flexibility. Sometimes situations out of our control means we need an extra 10 minutes to get to a safe parking spot or our clock runs out wile getting loaded and the shipper says we need to get off the property or you my find yourself in an ice storm. ELDs will not allow that flexibility and will push drivers into making dangerous decisions out of fear of HOS violations instead of putting their personal and public safety first.THE PEOPLE MAKING THESE RULES GO HOME EVERYDAY. Truckers often do not we often LIVE IN OUR TRUCKS.An alternative to this burdensome regulation is much tougher penalties for multiple offenders for carriers that repeatedly have hours of service violations or accidents.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-2507","Posted","Public Submission",1,TRUE,"2017-11-27T00:00:00-05:00","Giancarlo Brucchieri","Comment from Giancarlo Brucchieri",NA,NA,NA
"3","DOT",TRUE,1,NA,"2017-11-03T00:00:00-04:00","See attachment","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-2437","Posted","Public Submission",1,TRUE,"2017-11-22T00:00:00-05:00","James Lamb","Small Business Transportation Coalition - Comments","Attachment Contents : ...c Service Commission 447 U.S. 557 (1980) the United States <> </> laid out a four-part test for determining when restrictions on commercial...",NA,NA
"4","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","How can any part of the government make a mandate that the supreme court has deemed unconstitutional with more than one ruling against GPS tracking of citizens without a warrant. And also the government interface of my rights to roam free with out hindrance of laws and regulations.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-2139","Posted","Public Submission",1,TRUE,"2017-11-21T00:00:00-05:00","Julie Hatter","Comment from Julie Hatter",NA,NA,NA
"5","DOT",FALSE,1,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","Comments attached from the Motor Carrier Regulatory Reform (MCRR) Coalition including:  Air & Expedited Motor Carrier Association (AEMCA)  Alliance for Safe Efficient and Competitive Truck Transportation (ASECTT)  American Home Furnishings Alliance (AHFA) / Specialized Furniture Carriers  Apex Capital Corp.   Auto Haulers Association of America (AHAA)  National Association of Small Trucking Companies (NASTC)  Tennessee Motor Coach Association (TMCA)  The Expedite Alliance of North America (TEANA)  Transportation and Logistics Council (TLC)  Transportation Loss Prevention & Security Association (TLP&SA)","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1680","Posted","Public Submission",1,TRUE,"2017-11-16T00:00:00-05:00","Henry Seaton","Comment from Motor Carrier Regulatory Reform Coalition","Attachment Contents : ...standards for admissibility of the system as probative evidence under the <> </>’s decision in Daubert v. Merrell Dow Pharmaceuticals.11 The biennial audit...","Motor Carrier Regulatory Reform Coalition",NA
"6","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","The ELD is a bad idea forcing DRIVERS to sleep and work by a forced clock is NOT the way to be safe. Everyone has different sleep patterns and no one rule can change that or make it safer. The ELD violates privacy rights as the supreme court themthemselves has ruled on per tracking without a warrant.  I think SELF insurers should be done away with so the DOT can see the real accident RATES of companies not just the ones they choose to report. This is a revenue problem that the large companies are trying to solve through the lobbying of the ATA (just look at their 5 yr annua revenuel reports) none of which have any experience behind the wheel of a semi truck. I mind you it all looks good on paper but at some point practical applicati9j has to take the place of information and the real world application does not account for all of the daily hurdles faced in the industry. There are also questions of safety and the ability to be hacked as the University of Michigan pointed out in a study done where they were able to control the trucks wirelessless while the driver was driving.  This could be the single largest threat to the US in a way like no other the scenarios are endless and very disturbing to think about. More truck WITH ELDS WRECK THAN WITHOUT them which was also proven by the DOT data. You want safety then correct the environment the drivers have to work in. Correct the class D DRIVERS abilities and make test more thorough to pass and require more conditions to be set. The Class D DRIVERS have no skill to control or maintain when in danger nor do they understand the danger they put everyone else in. ","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1673","Posted","Public Submission",1,TRUE,"2017-11-16T00:00:00-05:00","Damon Sorrells","Comment from Damon Sorrells",NA,NA,NA
"7","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","For many years freight has been crossing this country without GPS tracking so we don't need our rights violated now. The constitution says we have the right to free travel and your violating that with eld. The supreme court ruled that GPS was against our rights. And now it's ok. Suport the hr3282.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1692","Posted","Public Submission",1,TRUE,"2017-11-16T00:00:00-05:00","Gregory Graham","Comment from Gregory Graham",NA,NA,NA
"8","DOT",FALSE,1,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","I am commenting in reference to the pending ELD mandate. I feel that forcing this mandate upon everyone is going to be a major burden on the industry.  The cost alone for smaller truck companies and independent owner operators to comply is a pretty big burden in itself.  Many of these carrier have done nothing wrong and have clean safety records. I believe that criminals are granted a trial before 24/7 electronic monitoring is granted as an option to jail time. Why are trucking companies or independent operators being forced to be monitored 24/7 when they've done nothing wrong?  I also believe that it has been ruled that sex offenders aren't even allowed to be monitored 24/7. As can be seen in attached pages. So essentially this mandate is treating us as tho we are worse than criminals.  I certainly can understand eld devices being used voluntarily if operators would like to use them. Also I would understand them being forced upon carriers who continuously violate the laws.  The idea that ELD's are going to make the roads safer and save lives has also no been proven. In fact accidents have gone up the past few years.  Some of the highest accident rates are found in the very carriers who are already using Eld's. If safety was really of concern you would remove companies ability to self insure their units.  A perfect example of this is Swift.  Other issues that are going to be exposed with an ELD mandate is the lack of parking.  First and foremost at shippers and receivers.  Many of them simply do no allow trucks to come in early or stay after being loaded or unloaded. This creates issues with the mandatory 10 hour break.  While many will argue this is an HOS issue.  I feel that shippers are receivers need to be held to a higher standard Federally.  Some are now imposing fines for missing appointment times or simply tell drivers ""we will get to you when we can"".  How are we supposed to plan for that? Further delaying our work week and our next load. Mind you. Unless we are loaded and moving we are not making money.  I do believe the HOS is an issue that should be adjusted.  With more flexibility in that the ELD would be easier to adapt to.  Also pertaining to ELD's I don't understand what is wrong with the paper system. Monetarily it costs next to nothing for us to comply with paper.  There is also no security risks involved with the paper system. Security becomes an issue with ELD devices tied into the ECM's of the trucks we are operating.  The systems my employer are using uses bluetooth technology. Which is even easier to hack.  While I'm not the best at putting my thoughts into words I've done my best here to summarize them.  The ELD mandate is going to add more stress to a job that I thoroughly enjoy up until the worry about this mandate.  I have started to question whether I will be able to continue doing this job that I enjoy and was expecting to retire from.  The added stress this device is going to put on me with racing a 14 hour clock while safely operating a commercial vehicles in the Northeast corridor is not safe for me or those around me. I fear there are other drivers out there who are unable to admit that and forced to comply and continue working under the higher stress levels. I also know quite a few drivers who are simply walking away from the industry because they are tired of the ever growing ridiculous regulations that keep being imposed on us. Some suggestions I have:- New drivers must use ELD's for a set amount of time.  Allowing experienced drivers to continue using paper logs. Granting    new drivers the option to log however they want after a set amount of time.- Eld's being forced upon carriers and/or operators who are found to be in violation multiple times- Altering the HOS to be more flexible- A standardized pay structure for truck drivers in general. Paid for all time in truck whether loading unloading or driving.- Higher training standards for new drivers trying to obtain their CDL.- We as people should be given a choice how we want to log our driving. I choose paper over electronics. I understand some prefer electronics and we should ALL be allowed to make that choice as until we are proven otherwise.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1513","Posted","Public Submission",1,TRUE,"2017-11-14T00:00:00-05:00","David Brown","Comment from David Brown","Attachment s : 1 Cite as: 575 U. S. ____ (2015) Per Curiam <>SUPREME COURT</> OF THE UNITED STATES TORREY DALE GRADY v. NORTH CAROLINA ON PETITION...",NA,NA
"9","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","The elds should be a choice. The safety gains are  unproven. Crash data coming out now for 2016 contradicts the safety claims that have been made previously by the ATA. Just because ooida couldn't get a supreme Court appearance doesn't solidify that elds don't violate our constitutional rights  just means politics got in the way. The expense of the eld is something that can't be passed on or absorbed by us . the tax write-off isn't enough to justify buying one. Paper is far cheaper and just as effective.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0771","Posted","Public Submission",1,FALSE,"2017-10-25T00:00:00-04:00","Jd Corman","Comment from Jd Corman",NA,NA,NA
"10","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","The ELD rule should be scrapped. The Supreme Court already ruled that Government can't track its citizens by GPS without a warrant. Are we as truck drivers lower than a common criminal in the eyes of our big bloated over regulated government? This mandate is unconstitutional.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0690","Posted","Public Submission",1,FALSE,"2017-10-23T00:00:00-04:00","Gary Zemke","Comment from Gary Zemke",NA,NA,NA
"11","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","The ELD mandate should NOT be forced upon American business. It violates the 5th Amendment of the Bill of RIGHTS Drivers privacy Free Enterprise for business owners and several Supreme Court rulings against GPS trackers on citizens without warrant. The American Trucking Association does not speak for the American truck drivers but for the elite companies. WE THE PEOPLE DO NOT SUPPORT THE COMMUNIST LAW SET IN PLACE!","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0523","Posted","Public Submission",1,FALSE,"2017-10-20T00:00:00-04:00","Jonathan Odom","Comment from Jonathan Odom",NA,NA,NA
