"","agencyAcronym","allowLateComment","attachmentCount","commentDueDate","commentStartDate","commentText","docketId","docketTitle","docketType","documentId","documentStatus","documentType","numberOfCommentsReceived","openForComment","postedDate","submitterName","title","organization","summary","rin"
"1","DOT",FALSE,0,"2017-12-01T23:59:59-05:00","2017-10-02T00:00:00-04:00","REPEAL CARBON TRADING SAVE BILLIONS FOR AMERICAN TAX PAYERS, August 4, 2015 Senate Committee on Environment and Public Works, OBAMA'S CARBON MANDATE: 73 PAGE reported Obama White House hired a number of individuals to work on climate rules who were part of the green revolving door. Environmental activist groups like NRDC are integral to green litigation and lobbying machine, while simultaneously serving as close allies and partners with the Obama EPA to advance a shared mission. June 25, 2013, Obama announced a plan to have the U.S EPA or Agency issue rules under section 111 of the Clean Air Act to cut greenhouse gas emissions. Committee's oversight into these rules and role NRDC played in developing the proposed rules, which rebuts much of the Obama Administration's narrative about how these rules were developed. Report documents previously unknown details about relationship between EPA and environmental activist groups and ""sue-and-settle"" process that led to these rules. 2015, EPA released its final rules regulating carbon emissions from power plants. EPA efforts to regulate carbon emissions from power plants were driven by Obama Administration officials and ENVIRONMENTAL ACTIVIST groups who worked to fulfill Obama climate commitments pages 15-17, 29, 50,56. EPA rushed into a ""sue-and-settle"" agreement with Natural Resources Defense Council, other environmental activists, and several state and local governments in 2010 to issue unprecedented carbon regulations with LITTLE REGARD to the technical, legal, and policy challenges that rules would present. pages 14-19, 21, 26, 30-39, 45-48, 56,61. EPA played politics with regulatory process by trying to manipulate rulemaking deadlines to avoid a public backlash close to 2012 Presidential and 2014 midterm elections, and to push implementation to next Administration, pages 16, 17, 31-34, 40-49, 55,64. The carbon rules were the product of quintessential ""sue-and-settle"" scheme where EPA and environmental activists, such as NRDC, continued to negotiate BEHIND CLOSED DOORS, changing regulatory actions and deadlines without providing the public meaningful notice or opportunity to comment. pages 17-19, 24, 26, 31,40-45 Obama EPA officials repeatedly MISLED the American people, news media, and Congress about negotiations with environmental activists and contribution made by these activists to development of carbon rules. pages 4-6,43, 47, 48, 54, 62-64,67. The White House, EPA, and environmental activists worked together to manage the public message on the carbon rules. pages 28-29, 33-35, 39, 46, 47, 50-51, 54,68. The litigation settlement provided environmental activists significant leverage to drive timing of EPA's rulemaking and to influence scope of its policies.pages 30-32, 35, 40-46, 67 EPA's process for developing the carbon rules appears to have DEVIATED FROM THE AGENCY STATUTORY AUTHORITY under the Clean Air Act and established policies and circumvented transparency laws and public participation requirements. pages 22, 23, 28, 32, 43, 48-49, 62-64. NRDC and other environmental activist groups have worked with EPA to shore up the shaky basis for carbon rules, issuing public statements criticizing opponents of rule and submitting detailed legal analyses for EPA to rely on and cite in its rulemaking documents. pages 59-68 . EPA and environmental activists had cozy relationships and egregiously used personal emails and held meetings away from EPA headquarters, thereby avoiding public transparency. pages 20, 22, 25, 28, 39, 43, 48,54-56. In addition to detailing overt ""sue-and-settle"" tactics, Report reveals how environmental activist groups including Natural Resources Defense Council (NRDC), and EPA INAPPROPRIATELY coordinated a public message on climate. The Administration went out of its way to mislead the American public about the timing and scope of these rules, stating repeatedly that it had ""no plans"" to regulate existing power plants even though it had been working behind scenes with its environmental allies to do it. Only after his reelection did Obama intervene to set in motion EPA action that would fulfill his original climate campaign promises before leaving office. Environmentalists proved to be big cheerleaders for Obama and EPA, but groups such as NRDC were basically an extension of the Agency, providing policy advice, data and modeling, legal counsel. See full report on Congress web. Repeal the regulation and stop Carbon Trading which is hurting American Business. END OR REPEAL THE independent Consumer Financial Protection Bureau created by Dodd-Frank, the concern goes well beyond lack of regulatory review : there exists a fundamental lack of accountability, repeal Dodd-Frank, review and cancel Carbon rules on commodities trading exchange.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1488","Posted","Public Submission",1,TRUE,"2017-11-09T00:00:00-05:00","e r","Comment from Anonymous",NA,NA,NA
"2","DOT",FALSE,1,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","See attached file(s)","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1427","Posted","Public Submission",1,FALSE,"2017-11-02T00:00:00-04:00","Michael Pimentel","Comment from California Transit Association","California Transit Association","Attachment Contents : ...comprehensive, confidential analyses of accidents without a looming threat of exposure to <endeca_term>litigation</endeca_term>. It is vitally important that this data not be subject to public...",NA
"3","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","June 29, 2017 Russia's Propaganda War against Fossil Fuels; The Mechanics of Russia's Scheme to Use Nonprofit Entities to Influence U.S. Public Policy and Public Opinion of the Oil and Gas Industry; US House of rep: Lamar Smith and Randy Weber sent letter to the U.S. Department of the Treasury; The Committee on Science, Space, and Technology is conducting oversight of what appears to be a concerted effort by foreign entities to funnel millions of dollars through various NON-PROFIT ENTITIES to influence the U.S. energy market. According to the former Secretary General of NATO, ""Russia, as part of their sophisticated information and disinformation operations, engaged actively with so-called nongovernmental organizations- environmental organizations working AGAINST SHALE GAS ."" These statements and related reports provide evidence that Russia is also behind the radical statements and vitriol directed at the US FOSSIL FUEL SECTOR. The purpose of this letter is to request that the U.S. Department of Treasury INVESTIGATE these and related allegations. U.S. intelligence community have all publicly noted that Russia and its government corporations are FUNDING a covert ANTI FRCKING campaign to SUPPRESS the widespread adoption of fracking . clear evidence that the Kremlin is financing and choreographing anti-fracking propaganda in the United States. According to media outlets, the report found that "" ran, 'anti-fracking programming, highlighting environmental issues and the impacts on public health,' It is easy to see the benefit to Russia and Gazprom that would result from a reduction in the U.S. level of drilling and fracking- a position advocated for by numerous environmental groups in the U.S. Publicly available reports connect the dots in this complex scheme operated under the guise of philanthropic endeavors. This scheme allows money originating from foreign countries like Russia to funnel through Bermuda-based shell companies to environmental groups in the United States with the aim of disrupting the U.S. energy industry. These allegations are ripe for investigation by the Department of Treasury. These funds are dispersed as grants that will be used to execute a political agenda driven by Russian entities. a Bermuda based corporation apparently established to act only as a pass through for foreign funds , provides a number of services, including those necessary to facilitate the operations of a shell company. Prior conduct of principals reflects a known strategy used to mask the funding of environmental groups. one investigative journalist, ""A number of Big Green donors have chosen offshore foundations for government-guaranteed anonymity,"" adding that, ""several countries have become favorites in the no-disclosure-required industry. the Russian funds funnel to a private foundation based in San Francisco, which then passes the funds to environmental 501(c)(3) groups with the intent to effect political change, is appropriately positioned to give the Russian funds to environmental groups that push back on U.S. domestic fracking and gas advancements, strategy is to apply domestic political pressure using its deep pockets -with most of the funding coming from Russia. provides funding grants to well known environment activist groups. These grants, in 2010, to ""reduce reliance on high carbon energy. million in an attempt to suppress the U.S. domestic oil & gas industry using funding from a foreign entity that intentionally conceals its funding sources. Committee on Science, Space, and Technology has jurisdiction over environmental and scientific programs and research...also see 92 page 2014 Senate report as the ""Billionaire's Club,"" funnel money to far-left environmental activists through public charities. https://www.epw.senate.gov/public/index.cfm/white-papers and GAO REPORT EXPOSES MILLIONS IN ENVIRONMENTAL LITIGATION FEES FOR FIRST TIME https://www.epw.senate.gov/public/index.cfm/press-releases-republican?ID=20BA71B7-802A-23AD-4CA7-A06341934622 tax payers must stop costly special interest interference. EPA must disclose and manage grants better,  In 2015, EPA awarded roughly $3.9 billion, about 49 percent of its budget, in grants to states, local governments tribes, and other recipients. agency did not have the information it needed to allocate grants management resources in an effective and efficient manner.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1255","Posted","Public Submission",1,FALSE,"2017-10-31T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"4","DOT",FALSE,1,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","Please see attached. ","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1199","Posted","Public Submission",1,FALSE,"2017-10-27T00:00:00-04:00","Adrienne Gildea","Comment from Commercial Vehicle Safety Alliance","Commercial Vehicle Safety Alliance","Attachment Contents : ...The rule was finalized after a decade of regulatory inquiry, study and <endeca_term>litigation</endeca_term>, and DOT’s own research has found that the use of ELDs...",NA
"5","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","Abuse of the legal system by ENVIRNOMENTIAL AND SPECIAL INEREST GROUPS are A MAJOR PROBLEM,  OUTRAGES CONDUCT  Costing  tax  payers and budget BILLIONS  who sue to stop management project on public lands,  chronic Litigation and threats of litigation that hinders our resource/land management professionals which has increased the federal government's INABILITY  to control catastrophic WILDFIRES and manage America lands .  The FWS is faced with a no-win situation; they are overwhelmed by environmental groups with hundreds of candidate listings for EAJA,  that the agency cannot possibly respond . the USFS sees major abuses within the legal system by special interest groups. Environmentalists filed more than 50 appeals in just one county to block thinning projects, stop water project, they stop oil and gas pipelines, they stop development, Fires are destroying species habitat and ESA itself is creating obstacles that are counter-productive to fighting wildfires.   Inability of the Forest Service to thin forests due to overly cumbersome and lengthy environmental processes, increasing frivolous lawsuits filed by certain litigious environmental groups, with a profound impact on Forest Service and the mismanagement of our national forests , Chairman Bishop (R-UT) said , 2016 defining and designating critical habitat under the Endangered Species Act.  ""is another power grab"".  Time to FIGHT or PUSH back,  If they are stopping our national interests, File against the environmental groups, change the rules of engagement, Remove all environmental groups that are advising  the federal system. Congress time to act. EPA must disclose and manage grants better,  In 2015, EPA awarded roughly $3.9 billion, about 49 percent of its budget, in grants to states, local governments tribes, and other recipients.  ..........RECOMMEND: Update or repeal the Equal Access to Justice Act (EAJA) of 1980 , subsection of EAJA, codified at 28 U.S.C.  2412(d) section 2412(b). (SUE GOV. AND GET FEES PAID SEC. ) NEPA must be reformed,   UPDATE : Case Management System database, AND COMBINE with Natural Resources Division and the Legal Information Office Network System database, ...so past and current regulation suits on both systems can be tracked. ...UPDATE Federal judiciary's Public Access to Court Electronic Records (PACER) system . amend the Administrative Procedure Act,  Change the Clean Air Act amendments;  that authorizing citizens to sue agencies referred to as ""agency-forcing"" or ""deadline"" suits.  Review the ""Judicial review provisions"",  audit the Department of the Treasury's Judgment Fund...and  REINSTATE :. in December 1995, the Federal Reports Elimination and Sunset Act of 1995 repealed the Attorney General's reporting requirement for fees and expenses awarded under EAJA and REINSTATE the  discontinued reporting of governmentwide administrative awards of fees and costs under EAJA after fiscal year 1994.     REFER: August 31, 2011 - US SENATE ... GAO REPORT EXPOSES MILLIONS IN ENVIRONMENTAL LITIGATION FEES GAO report litigation     www.GAOreportlitigation.pdf    and     http://www.gao.gov/products/GAO-11-650   and      http://www.gao.gov/assets/330/322395.pdf    Congress passing the Improper Payments Information Act of 2002 (IPIA).  Reducing the red tape of National Environmental Policy Act (NEPA) process.........WEB  REFER:   judicialwatch.org/blog/2014/11/obama-gives-3-bil-u-n-climate-fund-run-communist-terrorist-nations/       Sierra club 2017 in ohio naturalgasintel.com/articles/110337-enviro-groups-sue-to-stop-oilnatgas-development-in-ohio-national-forest    Green peace   2015  wattsupwiththat.com/2015/12/08/breaking-greenpeace-co-founder-reports-greenpeace-to-the-fbi-under-rico-and-wire-fraud-statutes/   Sierra and Obama climate change     thehill.com/policy/energy-environment/276985-sierra-club-starts-campaign-to-push-obama-on-climate,   Dodd-Frank Act Commodity Futures Trading cftc.gov/LawRegulation/DoddFrankAct/Dodd-FrankFinalRules/index.htm  hurting oil and Gas  Financial institutions , mining http://www.judicialwatch.org/press-room/press-releases/judicial-watch-sues-records-obama-administrationenvironmentalists-shut-dakota-access-pipeline/ joannenova.com.au/2015/07/forest-fires-may-produce-as-much-co2-as-half-of-all-fossil-fuels-burned/ dailycaller.com/2016/02/08/5-moneyed-environmentalists-who-profit-off-global-warming forbes.com/sites/jamestaylor/2014/01/02/dark-money-funds-to-promote-global-warming-alarmism-dwarf-warming-denier-research breitbart.com/big-government/2017/07/09/delingpole-nearly-all-recent-global-warming-is-fabricated-study-finds/       judicialwatch.org/blog/2014/11/obama-gives-3-bil-u-n-climate-fund-run-communist-terrorist-nations   three groups received 41 percent of all the attorneys' fees awarded to EPA litigants.  https://www.epw.senate.gov/public/index.cfm/2011/8/post-20ba71b7-802a-23ad-4ca7-a06341934622   more review the Code of Federal Regulations page.","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-1011","Posted","Public Submission",1,FALSE,"2017-10-26T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"6","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","Statutory tools are  necessary to reduce excessive regulatory burdens that make  infrastructure projects all but impossible in this country.  Concerns about the appearance of significant influence from special interest and environmental groups in the past Obama administration.   Congress needs to provides a strong foundation upon which America  can build in the fight of special interest groups.  GREATEST PROBLEM AMERICA FACES TODAY IN AMERICA ARE   ENVIRONMENTALISTS,   USING THE Endangered Species Act (ESA)  with the Equal Access to Justice Act (EAJA)  TO STOP BUSINESS AND HUMANS FROM USING THE RESOURCES ,by   exert more control disguised as helping animals and the environment . Rep. Doc Hastings (WA-04), Co-Chair Rep. Cynthia Lummis (WY  Co-Chair Rep. Mark Amodei (NV) Rep. Rob Bishop (UT-01) Rep. Doug Collins (GA-09) Rep. Andy Harris (MD-01) Rep. Bill Huizenga (MI-02) Rep. James Lankford (OK-05) Rep. Blaine Luetkemeyer (MO-03) Rep. Randy Neugebauer (TX-19) Rep. Steve Southerland (FL-02) Rep. Glenn Thompson (PA-05) Rep. David Valadao (CA-21)    of the House of Representatives  formed the Endangered Species Act (ESA) Working Group in May 2013 to examine a variety of questions related to ESA implementation.      Example, CALIFORNA  1998 construction of an elementary school in San Diego was delayed by ESA litigation and FWS mitigation requirements to protect a two-inch shrimp. Construction is finally slated to go forward as a result of an agreement by the school district to spend $5 million in ESA mitigation expenses, all of which will be passed on to local citizens,  EXAMPLE  TEXAS Department of Transportation has been forced to completely redesign the highway project design and submit it for federal approval.  A   spider halted completion of an $11 million water pipeline project.  EXAMPLE MONTANA,  a mining project  has been told by the FWS that it will need to pay for contractors to help them complete a biological opinion related to grizzly bears, without any assurance the project will be approved.  EXAMPLE UTAH,  A rural electric cooperative in Utah was determined that two acres of Utah Prairie Dog habitat were within a 350-foot buffer of the project's right-of-way. This resulted in a nine-month delay ...... Current implementation of ESA does not clearly identify what is needed to recover and delist species, resulting in a lack of incentives, for state and private conservation, costly mandates, and wasted resources even in light of increased federal funding. ESA punishes private property owners and water rights holders and fails to properly account for huge economic and regulatory burdens that also hinder species conservation. The ESA also advances the agendas of groups seeking land and water acquisition and control. Working Group Conclusion: The ESA promotes a lack of data transparency and science guiding ESA-related decisions, and there are conflicts of interest and bias in ""peer review"" of federal ESA decisions. ESA is increasingly becoming a tool for litigation and taxpayer-funded attorneys' fees. The Obama Administration's use of closed-door settlements undermines transparency and involvement of affected stakeholders and drives arbitrary mandates and deadlines that do little to recover species. In 2012, the Department of Justice (DOJ) provided the House Committee on Natural Resources case information on 613 total cases. ESA shuts out states, tribes, local governments, and private landowners not only in key ESA decisions but in actual conservation activities to preserve and recover species. Congress passing the Improper Payments Information Act of 2002 (IPIA). This act, as amended, requires, among other things, that all agencies annually identify and review programs and activities that may be susceptible to significant improper payments.  ","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0778","Posted","Public Submission",1,FALSE,"2017-10-25T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"7","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","GREATEST WILDFIRE MANAGEMENT FOREST SERVICES  FACES TODAY ARE    ENVIRONMENTALISTS    using the       Endangered Species Act (ESA),   Rep. Doc Hastings (WA-04), Co-Chair Rep. Cynthia Lummis (WY  Co-Chair Rep. Mark Amodei (NV) Rep. Rob Bishop (UT-01) Rep. Doug Collins (GA-09) Rep. Andy Harris (MD-01) Rep. Bill Huizenga (MI-02) Rep. James Lankford (OK-05) Rep. Blaine Luetkemeyer (MO-03) Rep. Randy Neugebauer (TX-19) Rep. Steve Southerland (FL-02) Rep. Glenn Thompson (PA-05) Rep. David Valadao (CA-21)    of the House of Representatives  formed the Endangered Species Act (ESA) Working Group in May 2013 to examine a variety of questions related to ESA implementation.         litigation has increased the federal government's INABILITY  to control catastrophic WILDFIRES.     According to the California Forestry Association, environmentalists filed more than 50 appeals in just one county to block thinning projects that sought to protect the Northern Spotted Owl habitat that had been destroyed by fire.   In addition, a lawsuit filed by one group led to a federal court order last year that could block state allocation of existing water rights.  The four federal land management agencies (the U.S. Forest Service, Bureau of Land Management, National Park Service, and the FWS) are responsible for managing over 600 million acres of land or nearly one-third of the United States. Decades of failed federal forest management have created unhealthy and overstocked forests, placing 73 million acres of National Forest lands and 397 million acres of forest land nationwide at risk of severe wildfire.   Fires are destroying species habitat and ESA itself is creating obstacles that are counter-productive to fighting wildfires, including use of heavily mechanized equipment, use of aerial retardant and restricted use of water due to concerns about potential impacts to other ESA-listed species, such as salmon. State and tribal lands adjoining federal forest lands are increasingly at risk of wildfires partly because of ESA. The Forest Service's self-described ""analysis paralysis,"" excessive appeals on timber sales, ESA-related litigation, statutory and administrative land designations (such as wilderness, roadless areas and critical habitat) all serve to delay or outright block management activities necessary to reduce hazardous fuels and improve forest health and habitat. For example, in northwestern Montana, the Kootenai National Forest Supervisor approved an Environmental Impact Statement to proceed with the Grizzly Vegetation Management project on 2,360 acres. The proposed activities included timber harvest, fuels reduction, prescribed burning, pre-commercial thinning, wildlife habitat improvement, and watershed rehabilitation. In late 2009, several environmental groups filed suit under the ESA, claiming these activities would harm grizzly bear habitat. A federal district court judge granted an injunction in 2010, which effectively blocked the management activities, and awarded the plaintiff's attorneys' fees in the amount of $56,000. This area was recently identified by the National Interagency Fire Center as being at a ""significant risk of wildfire."" Over the past two fiscal years alone,  lawsuits, notices of lawsuits, and appeals were filed in the Idaho and Montana region of the U.S. Forest Service to block timber thinning and other vegetation management in areas at high risk of wildfire.   Endangered species habitat destruction was a reality last year, when the Arizona Game and Fish Department noted that two major fires resulted in the destruction of 20 percent of Mexican spotted owl nests known to exist in the world.  In addition, biologists scrambled last year to protect endangered fish in New Mexico from the Whitewater-Baldy Complex fire, which consumed almost 300,000 acres. Chairman Bishop (R-UT) said after the February 5, 2016  finalization of a new policy for defining and designating critical habitat under the     Endangered Species Act.  ""Just like we saw with WOTUS, this is another power grab.  The new definition injects even more ambiguity and confusion into an already arbitrary process.  This Obama Administration doesn't care if they abuse the law as long as they can exert more control over people.   If we've learned anything from the Obama Administration's handling of the endangered manatee, this agenda has nothing to do with improving habitat or protecting species. It's their way to exert more control disguised as helping animals and the environment.""","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0762","Posted","Public Submission",1,FALSE,"2017-10-25T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"8","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","REPORT   2007  said California wildfires pumped nearly 8 million metric tons of climate-warming carbon dioxide into the atmosphere; 2017 fire worse...... REPORT:  from  Scientists study estimated that Fires in US  release millions metric tons of carbon dioxide per year;  REPORT ""Forest fires may produce as much co2 as half of all fossil-fuels burned .  We have a clear and present danger of high-intensity fires on public lands in California , fuels  buildup to unnatural levels    Wildfires in calif must stop.... over Billion dollars in tax payer COST ,bad for budge, bad for wildlife,   lives lost,  time to tend your garden...... Misguided Obama policy Suppress of Wildfire and environmentalist give too much power where environmental analyses were 60% of the costs .      Manage forest BEFORE they start...OCT 2017  The Wildfire Prevention and Mitigation Act of 2017 will simplify forest management to help prevent & mitigate wildfires and protect wildlife by  U.S. by Senator John Barrasso (R-WY)  greatest threat to many endangered species and their habitat is catastrophic WILDFIRE ,leads to susceptible to insects and disease outbreaks ...thinning forest to protect habitat,  more resistant to insect predation.   concentration of trees and underbrush amounts to 45 tons of dry fuel per acre, potential for catastrophic fire......2017  Mr Secretary Zinke accumulation and thickening of vegetation  exacerbates fuel conditions and often leads to larger and higher-intensity fires,""     .. ... 2015 USFS Chief Dave Bosworth Said, ""We Do Not Have A Fire Problem On Our Nation's Forests; We Have A Land Management Problem""   
LITIGATION    has had a profound impact on Forest Service and the mismanagement of our national forests,  Need to update or repeal the Equal Access to Justice Act (EAJA) of 1980 , subsection of EAJA, codified at 28 U.S.C.  2412(d) section 2412(b). (SUE GOV. AND GET FEES PAID SEC. ) UPDATE UPDATE: Case Management System database, AND COMBINE with Natural Resources Division and the Legal Information Office Network System database, ...so past and current regulation suits on both systems can be tracked. ...UPDATE Federal judiciary's Public Access to Court Electronic Records (PACER) system . Department of the Treasury's Judgment Fund.  Ozone regulations compliance costs could measure in the trillions of dollars. ... NOTE: need to REINSTATE :. in December 1995, the Federal Reports Elimination and Sunset Act of 1995 repealed the Attorney General's reporting requirement for fees and expenses awarded under EAJA and REINSTATE the  discontinued reporting of governmentwide administrative awards of fees and costs under EAJA after fiscal year 1994.     REFER: August 31, 2011 - US SENATE ... GAO REPORT EXPOSES MILLIONS IN ENVIRONMENTAL LITIGATION FEES GAO report litigation     www.GAOreportlitigation.pdf    and     http://www.gao.gov/products/GAO-11-650   and      http://www.gao.gov/assets/330/322395.pdf    Congress passing the Improper Payments Information Act of 2002 (IPIA).  
DROUGHT condition in California .   POOR Forest Management provide  less water for wildlife ... too many trees and underbrush creates a closed canopies where 15 to 60 percent of snow never reaches the ground and is lost to evaporation.  Being thinned, trees create right-sized gaps in the canopy to allow snow to fall to the ground yet receive enough shade to be protected from melting too early. 
","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0751","Posted","Public Submission",1,FALSE,"2017-10-24T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"9","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","SCAMING the America people using outdated laws and regulations... August 31, 2011 - US SENATE  ...  GAO REPORT EXPOSES MILLIONS IN ENVIRONMENTAL LITIGATION FEES FOR FIRST TIME .....GAO report litigation -  www.GAOreportlitigation.pdf  and    http://www.gao.gov/products/GAO-11-650   and  http://www.gao.gov/assets/330/322395.pdf     ... Washington, D.C.  - A new Government Accountability Office (GAO) report requested by Senator James Inhofe (R-OK), Ranking Member of the Senate Committee on Environment and Public Works, and Senator David Vitter (R-LA), a member of the EPW Committee, was released today.  Under various statutes, EPA and the Treasury Department are required to reward attorneys' fees to plaintiffs that successfully challenge EPA. Based on a snapshot of EPA's litigation from 1995-2010, the report finds that environmental groups (ENGOs) profited more than any other plaintiff. The report includes litigation costs for all EPA environmental statutes except the National Environmental Policy Act (NEPA). one litigant-Earthjustice-received $4,655,425.60 or 32 percent of all attorneys' fees paid to EPA litigants. The GAO report uncovers, for the first time, the millions of taxpayer dollars that are going to attorneys' fees for environmental litigation against the Environmental Protection Agency (EPA). Yet the report is limited because GAO, the government watchdog, was unable to obtain information from several federal agencies during the requested time period from 1995-2010. In addition to attorneys' fees awarded, the GAO found that the Department of Justice (DOJ) spent at least $43 million in taxpayer dollars defending EPA in court from 1998 - 2010.  Further, the report uncovered that most of the attorneys' fees paid to environmental organizations were paid under the Clean Air Act, followed next by the Clean Water Act. The report is part of a continued effort by Senators Inhofe and Vitter to ensure greater transparency at EPA. ...... Senator Inhofe: ""Today's GAO report is the tip of the iceberg as we work to get to the bottom of just how many taxpayer dollars are going to pay attorneys' fees in environmental suits.  It is outrageous that these agencies couldn't provide the requested information and it is even more concerning that we have yet to get the full story. lack of transparency on the part of EPA, DOJ, and the Department of Treasury as GAO was unable to obtain information for several years of litigation payments.  Senator Vitter: ""The GAO report shows that taxpayers have been on the hook for years while 'Big Green' trial lawyers have raked in millions of dollars suing the government.  Even worse, because of sloppy record keeping by the EPA and other agencies and a lack of cooperation by the Justice Department, we're not even sure how bad the problem really is. This is unacceptable and I'm going to continue working to demand greater transparency."" Government Accountability Office (GAO) uncovered a troubling lack of transparency and accountability in record keeping regarding environmental litigation expenses incurred in EPA litigation. Specifically, GAO found: Inconsistent formatting of key data elements produced significant problems for completing our analysis and required significant manual review by GAO and Justice.The Department of Justice does not have a standard approach for maintaining key data on environmental litigation cases, and the data they do collect are in two separate databases that do not collect the same type of data on environmental cases. EPA does not track its attorneys' time by case, GAO was not able to include data on EPA attorney costs spent on environmental litigation cases. GAO was unable to calculate the total number of hours that Justice Attorneys worked on environmental cases - and hence, total costs of attorney time - because the U.S. Attorneys' time is not tracked by case.The Department of Treasury does record data on payments made from its Judgment Fund, an account within the Treasury Department authorized under the Equal Access to Justice Act for rewarding attorneys' fees to successful plaintiffs, but does not publish them.The government may also incur other costs associated with litigation, including the costs of revising regulations in response to lawsuits, EPA overhead costs, and costs associated with delays in EPA permitting, but GAO did not have reliable data to quantify these costs.  Plug hole, Improve Transparency and Accountability.  ","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0730","Posted","Public Submission",1,FALSE,"2017-10-23T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
"10","DOT",FALSE,0,"2017-11-01T23:59:59-04:00","2017-10-02T00:00:00-04:00","RESEND ALL TRANSPORTATION REGULATIONS, recent California wildfires tells it all, over billion dollars in cost, lives lost, TIME FOR CHANGE... The greenhouse gas emissions alone from wildfires can be equivalent to more than 8.5 million passenger vehicles driven for a year . .........2015 Subcommittee Chairman Tom McClintock (CA-04), ""The greatest threat to many endangered species and their habitat is catastrophic WILDFIRE..... Yet rather than thinning the forest to protect this habitat, we're spending millions upon millions on extraordinarily long, complicated, voluminous documents that IMPEDE our ability to properly manage the forests for the benefit of all species""...... Ozone is NOT OIL AND GAS COMPANIES ...Extreme events of WILDFIRES have significant impacts on air quality especially when they occur during periods conducive to ozone formation, Findings demonstrate a clear impact of wildfires on surface O3 nearby and potentially far downwind from the fire location, which means it is not in the Flawed EPA report for Greenhouse gas. US Forest Service page, 2015 Pacific Northwest WILDFIRE season Washington 130,000 tons Oregon 90,000 tons of fine particulate matter . ..... Not surprisingly, the clear and present danger of high-intensity fires on public lands in California have increased significantly over the last 20 years. Besides reducing the risk of catastrophic fire, trees in a restored healthy forest are more resistant to insect predation. POOR MANAGEMENT ALSO HAS LESS WATER FOR THE PEOPLE ....Being thinned, trees create right-sized gaps in the canopy to allow snow to fall to the ground yet receive enough shade to be protected from melting too early, unlike closed canopies from too many trees where 15 to 60 percent of snow never reaches the ground and is lost to evaporation. Further, in restored forests faster growing large trees sequester carbon faster than smaller trees.
........ Dave Schulz, Commissioner, Montana, in 2015 testimony, ""The consequences are a domino effect that results in forest management coming to a standstill."" ""I think there are environmental consequences to any action we take, and if we're not cautious and careful and cooperative toothat can cause harm,"" Schulz reiterated during the hearing. ""At the same time, there's an environmental consequence to doing nothing, and that's what I'm concerned about."".......
.....USFS Chief Dave Bosworth Said, ""We Do Not Have A Fire Problem On Our Nation's Forests; We Have A Land Management Problem""......... Sunday, 17 May 2015 - There is no doubt that litigation has had a profound impact on the Forest Service and subsequently the management and mismanagement of our national forests. Millions of taxpayer dollars are spent on shuffling paper, over-analysis and ensuring process is followed. We currently estimate planning and environmental analyses are roughly 60% of the costs of forest management projects,"" While many environmental laws were originally passed for good reason at a time when more checks and balances were needed, the situation has dramatically changed. All of us understand that significantly more restoration needs to occur through aggressive active management.""
","DOT-OST-2017-0069","Notice of Regulatory Review","Nonrulemaking","DOT-OST-2017-0069-0706","Posted","Public Submission",1,FALSE,"2017-10-23T00:00:00-04:00","anonymous anonymous","Comment from Anonymous",NA,NA,NA
