"","agency","date","title","fulltitle","color","RIN","stage","PrevStage","abstract","effect1","effect2","effect3","effect4","effect5","effect6","effect7","prompt","legaldeadline1","legaldeadline2","legaldeadline3","legaldeadline4","legaldeadline5","legaldeadline6","initiated","docket","toOSTscheduled","toOSTprojected","toOSTactual","withdrawnOSTscheduled","withdrawnOSTprojected","withdrawnOSTactual","toModescheduled","toModeprojected","toModeactual","resubmitOSTscheduled","resubmitOSTprojected","resubmitOSTactual","toOMBscheduled","toOMBprojected","toOMBactual","withdrawnOMBscheduled","withdrawnOMBprojected","withdrawnOMBactual","toMode2scheduled","toMode2projected","toMode2actual","resubmitOST2scheduled","resubmitOST2projected","resubmitOST2actual","toMode3scheduled","toMode3projected","toMode3actual","resubmitOST3scheduled","resubmitOST3projected","resubmitOST3actual","resubmitOMB2scheuled","resubmitOMB2projected","resubmitOMB2actual","clearOMBscheduled","clearOMBprojected","clearOMBactual","publicationapprovedscheduled","publicationapprovedprojected","publicationapprovedactual","publicationscheduled","publicationprojected","publicationactual","endcommentscheduled","endcommentprojected","endcommentactual","extcommentscheduled","extcommentprojected","extcommentactual","endcomment2scheduled","endcomment2projected","endcomment2actual","whydelay1","whydelay2","whydelay3","whydelay4","whydelay5","whydelay6","whydelay7","whydelay8","fedreg"
"1","National Highway Traffic Safety Administration",200902,"Popular Title: Roof Crush Resistance","Roof Crush Resistance","Red","RIN 2127-AG51","Stage: Undetermined","Previous Stage: Request for Comments: Publication Date 10/22/01; End of Comment Period 12/06/01. NPRM: Publication Date 8/23/05; End of Comment Period 11/21/05. SNPRM: Publication date 1/30/08; End of Comment Period 3/17/09; Ext. of Comment Period 3/14/08; End of Ext. Comment Period 2/27/08. SNPRM: Publication Date 1/30/08; End of Comment Period 3/17/08; Extension of Comment Period 3/14/08; End of Extended Comment Period 3/27/08.","Abstract: This rulemaking would upgrade vehicle roof crush requirements. It is part of the agency«s comprehensive response to mitigate the number of fatalities and injuries resulting from vehicle rollovers. Rollover crashes constitute about 3 percent of passenger vehicle crashes, but about one third (10,000) of the occupant fatalities. Light trucks are more prone to rollover, and they represent about half of the U.S. fleet. This rulemaking is significant because of public interest in vehicle safety.","Economically Significant Major","Unfunded Mandate EU","NAFTA","Foreign","","","","Prompting action: Statute","Legal Deadline: Final Rule : 07/01/2008 Rulemaking Project Initiated: 07/13/1996 Docket Number: NHTSA-2008-0015",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: Unknown","Docket Number: Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Additional coordination necessary Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis","Awaiting development of additional data Unanticipated issues requiring further analysis","","Additional coordination necessary","","","Unanticipated issues requiring further analysis","","Federal Register Citation for Undetermined: None"
"2","Reduced Stopping Distance Requirements for Truck Tractors",200902,"Popular Title: Reduced Stopping Distance for Truck Tractors","Reduced Stopping Distance Requirements for Truck Tractors","Red","RIN 2127-AJ37","Stage: Final Rule","Previous Stage: NPRM: Publication Date: 12/15/2005; End of Comment Period 4/14/2006.","Abstract: This rulemaking would reduce stopping distance requirements for truck tractors equipped with air brake systems. Advances in heavy vehicle braking systems show that improved stopping performance is attainable for these vehicles. Such improvements would reduce the stopping distance disparity with light vehicles, and would result in fewer deaths and injuries and reduce property damage due to fewer crashes between truck tractors and light vehicles.","EU NAFTA","","","","","","Foreign","Foreign Prompting action: None Legal Deadline: None","Legal Deadline: Unknown",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 04/02/2004","Docket Number: NHTSA-2005-21462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None      ","","","Additional coordination necessary","","","","","Federal Register Citation for Final Rule: None"
"3","Subpart T Hybrid III-10C Dummy, 10-Year-Old Child",200902,"Popular Title: Hybrid Dummy","Subpart T Hybrid III-10C Dummy, 10-Year-Old Child","Red","RIN 2127-AJ49","Stage: Final Rule","Previous Stage: NPRM: Publication Date 07/13/2005; End of Comment Period 09/12/2005.","Abstract: This rulemaking would incorporate the Hybrid III ten-year old dummy into Part 572 for potential application in Federal motor vehicle safety standards (FMVSS) such as FMVSS No. 213, Child restraint systems. Anton«s Law, signed by the President on December 4, 2002, specified in Section 4 that within 24 months, the Secretary of Transportation shall develop and evaluate an anthropomorphic test device that simulates a 10-year old child for use in testing child restraints used in passenger motor vehicles. The evaluation and testing of such a device has been completed by NHTSA. This rulemaking would include a rationale for the dummy performance response requirements; detailed dummy design drawings and specifications; and a procedures manual for the dummy inspection, assembly and disassembly.","EU NAFTA","","","","","","Foreign","Foreign Prompting action: None Legal Deadline: None","Legal Deadline: Unknown",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 09/16/2004","Docket Number: 2007-0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None      ","","","Additional coordination necessary","","","","","Federal Register Citation for Final Rule: None"
"4","Ejection Mitigation",200902,"Popular Title: Ejection Mitigation","Ejection Mitigation","Red","RIN 2127-AK23","Stage: NPRM","Previous Stage:None","Abstract: This rulemaking would create a new Federal Motor Vehicle Safety Standard (FMVSS) for reducing occupant ejection. Currently, there are over 52,000 annual ejections in motor vehicle crashes, and over 10,000 ejected fatalities per year. This rulemaking would propose new requirements for reducing occupant ejection through passenger vehicle side widows. The requirement would be an occupant containment requirement on the amount of allowable excursion through passenger vehicle side windows. The SAFETEA-LU legislation requires that: ""[t]he Secretary shall also initiate a rulemaking proceeding to establish performance standards to reduce complete and partial ejections of vehicle occupants from outboard seating positions. In formulating the  standards the Secretary shall consider various ejection mitigation systems. The Secretary shall issue a final rule under this paragraph no later than October 1, 2009.""","Economically Significant Major","Unfunded Mandate EU","NAFTA","Foreign","","","","Prompting action: Statute","Legal Deadline: Final Rule : 10/01/2009 Rulemaking Project Initiated: 08/10/2005 Docket Number:",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: Unknown","Docket Number: Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ","","","Additional coordination necessary","","","","","Federal Register Citation for NPRM: None"
"5","Passenger Car and Light Truck Corporate Average Fuel Economy 2011-2015",200902,"Popular Title: Car and Light Truck CAFE 2011-2015","Passenger Car and Light Truck Corporate Average Fuel Economy 2011-2015","Black","RIN 2127-AK29","Stage: Undetermined","Previous Stage: NPRM: Publication 5/02/2008; End of Comment Period 7/01/2008.","Abstract: This rulemaking would address Corporate Average Fuel Economy (CAFE) Standards for light trucks and for passenger cars for model years 2011-2015. CAFE standards must be set at least 18 months prior to the start of a model year.","Economically Significant Major","Unfunded Mandate EIS","EU NAFTA","Foreign","","","","Prompting action: Statute","Legal Deadline: Final Rule : 04/01/2009 Rulemaking Project Initiated: 12/28/2007 Docket Number: NHTSA-2008-0089",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: Unknown","Docket Number: Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ","","","","","","","","Federal Register Citation for Undetermined: None"
"6","Office of the Secretary",200902,"Popular Title: Accessibility-passenger vessels","Accessibility of Passenger Vessels to Individuals with Disabilities","Black","RIN 2105-AB87","Stage: Final Rule","Previous Stage: ANPRM: Publication Date 11/29/2004;End of Comment Period 03/28/2005;Publication Date for Extension of Comment Period 03/28/2005;End of Extended Comment Period 07/28/2005. NPRM: Publication Date 1/23/2007; End of Comment Period 4/23/2007; Extension of Comment Period 4/13/2007; End of Extended Comment Period 6/22/2007; Reopening of Comment Period 4/8/2006; End of Reopened Comment Period 4/23/2008.","Abstract: The Department«s Americans with Disabilities Act (ADA) final rule, published September 6, 1991, reserved portions of the rule concerning passenger vessels. The ADA covers passenger vessels, but issuing accessibility requirements for vessels involves complex issues unlike those affecting land transportation. This rulemaking would address these issues and propose feasible requirements to make passenger vessels accessible to, and usable by, individuals with disabilities.","EU NAFTA","Foreign","","","","","","Prompting action: Statute","Legal Deadline: None",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 07/26/1990","Docket Number: OST-2007-26829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: N/A Federal Register Citation for Final Rule: None      ","","","","","","","","Federal Register Citation for Final Rule: None"
"7","Aviation Data Requirements Review and Modernization Program",200902,"Popular Title: Aviation Data","Aviation Data Requirements Review and Modernization Program","Black","RIN 2105-AC71","Stage: Undetermined","Previous Stage: ANPRM: Publication Date 07/15/1998; End of Comment Period 09/14/1998; End of Reply Comment Period 10/13/1998. NPRM: Publication Date 02/17/2005;End of Comment Period 04/18/2005;Extension of Comment Period Publication Date 07/18/2005; End of Extended Comment Period 9/18/2005.","Abstract: This rulemaking requested public comments from reporting carriers and aviation data users on the nature, scope, source, and means for collecting, processing, and distributing airline traffic, fare, and financial data. Specifically, it invited comments on whether existing airline traffic, fare, and financial data should be amended, supplemented, or replaced; whether selected forms and reports should be retained, modified, or eliminated; whether OST should require all aviation data to be filed electronically; and how the aviation data system should be reengineered to enhance efficiency and to reduce costs for both the Department and the airline industry.","None","","","","","","","Prompting action: None","Legal Deadline: None",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 04/15/1998","Docket Number: OST-1998-4043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ","","","","","","","","Federal Register Citation for Undetermined: None"
"8","Protection of Sensitive Security Information",200902,"Popular Title: SSI-TSA","Protection of Sensitive Security Information","Black","RIN 2105-AD59","Stage: Undetermined","Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.","Abstract: This rulemaking would publish a Final Rule addressing the May 2004 Interim Final Rule and respond to any comments. As of January 31, 2007, this rulemaking is on hold pending the receipt of additional information from DHS. The schedule cannot be further updated until this information is received.","None","","","","","","","Prompting action: None","Legal Deadline: None",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 09/02/2002","Docket Number:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ","","","","","","","","Federal Register Citation for Undetermined: None"
"9","Credit Assistance for Surface Transportation Projects",200902,"Popular Title: TIFIA Update","Credit Assistance for Surface Transportation Projects","Red","RIN 2105-AD70","Stage: NPRM","Previous Stage: NPRM: Publication Approved 01/12/2009;Publication Date 01/21/2009;End of Comment Period 03/23/2009.","Abstract: This rulemaking would amend the TIFIA rule to implement recent statutory changes and incorporate certain other changes that the DOT believes will improve the efficiency of the program and its usefulness to borrowers. This rulemaking would also extend applicability of the rule to the Maritime Administration.","Economically Significant Major","","","","","","","Prompting action: None","Legal Deadline: None",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 04/17/2007","Docket Number: OST-2000-7401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 74 FR 3487      ","","","Additional coordination necessary","","","","","Federal Register Citation for NPRM: 74 FR 3487"
"10","Enhancing Airline Passenger Protections",200902,"Popular Title: Aviation Consumer","Enhancing Airline Passenger Protections","Red","RIN 2105-AD72","Stage: NPRM","Previous Stage: ANPRM: Publication Date 11/22/2007; End of Comment Period 1/22/2008.","Abstract: This rulemaking would propose to enhance airline passenger protections in the following ways: (1) require carriers to adopt contingency plans for lengthy tarmac delays and to incorporate these plans in their contracts of carriage, (2) require carriers to respond to consumer problems, (3) declare the operation of flights that remain chronically delayed to be an unfair and deceptive practice and an unfair method of competition, (4) require carriers to publish delay data on their websites, and (5) require carriers to adopt customer service plans, incorporate these in their contracts of carriage, and audit their adherence to their plans.","None","","","","","","","Prompting action: Secretarial/Head of Operating Administration Decision","Legal Deadline: None",NA,NA,NA,NA,NA,"Rulemaking Project Initiated: 09/04/2007","Docket Number: DOT-OST-2007-0022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for NPRM: 73 Fed.Reg.236      ","","","","","","Unanticipated issues requiring further analysis","","Federal Register Citation for NPRM: 73 Fed.Reg.236"
