"","V1","V2","V3","V4","linenumber"
"102","Federal Aviation Administration","","","",1
"105","Popular Title: Aging Aircraft Widespread Fatigue","","Aging Aircraft Program (Widespread Fatigue Damage)","Red",2
"106","RIN 2120-AI05","","","",3
"107","Stage: Final Rule","","","",4
"108","Previous Stage: NPRM: Publication Date 4/18/2006; End of Comment Period 7/17/2006; Extended Comment Period 7/17/2006; End of Extended Comment Period 9/18/2006.","","","",5
"109","Abstract: This rulemaking would require design approval holders to establish limits of validity (LOVs) of the engineering data that support the maintenance programs for certain transport category airplanes, and it would require them to determine if maintenance actions are needed to prevent widespread fatigue damage before an airplane reaches its LOV. This rulemaking would require operators of any affected airplane to incorporate the LOV into the airworthiness limitations section of the instructions for continued airworthiness. This rulemaking would also prohibit operation of an affected airplane beyond the LOV, unless an operator has incorporated an extended LOV and any necessary service information into its maintenance program.","","","",6
"110","Effects:","","","",7
"111","EU NAFTA","EU NAFTA","","",8
"112","Foreign","Foreign","","",9
"10","","","","",10
"11","","","","",11
"12","","","","",12
"13","","","","",13
"14","","","","",14
"113","Prompting action: None","","","",15
"114","Legal Deadline: None","","","",16
"115","Rulemaking Project Initiated: 02/14/2004","","","",17
"116","Docket Number: FAA-2006-24281","","","",18
"117","Dates for Final Rule:","","","",19
"124","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: 75 FR 69746  ","","","",20
"26","","","","",21
"27","","","","",22
"28","","","","",23
"125","Federal Register Citation for Final Rule: 75 FR 69746","","","",24
"126","Federal Aviation Administration","","","",1
"129","Popular Title: VLJ","","Commuter Operations in Very Light Jets (VLJs)","Green",2
"130","RIN 2120-AI84","","","",3
"131","Stage: NPRM","","","",4
"132","Previous Stage:None","","","",5
"133","Abstract: This rulemaking would establish a rule to allow passenger-carrying commuter operations to be conducted under the provisions of part 135 using multiengine turbojets, certificated under either part 23 or part 25, configured with 9 or fewer passenger seats. The rulemaking would allow multiengine turbojet operators to provide commuter service to the traveling public, thus accommodating new techonologies and a new generation of turbojet airplanes that otherwise would not be allowed in part 135 commuter service. Since 1995, turbojets used in scheduled operations must operate under the provisions of part 121. This current rulemaking resulted, in part, from recommendations from the Aviation Rulemaking Committee for parts 14 CFR 135/125 and covers pilot crew, equipment, training, and dispatch requirements for the safe operation of this new generation airplane. An earlier internet report listed this item as an NPRM with a scheduled publication date of 10/20/09. FAA has decided to terminate this rulemaking.","","","",6
"134","Effects:","","","",7
"29","","","","",8
"30","","","","",9
"32","","","","",10
"34","","","","",11
"36","","","","",12
"38","","","","",13
"40","","","","",14
"135","Regulatory Flexibility Act Prompting action: None Legal Deadline: None","","","",15
"42","Legal Deadline: Unknown","","","",16
"136","Rulemaking Project Initiated: 03/15/2006","","","",17
"137","Docket Number: Dates for NPRM:","","","",18
"45","Dates for Unknown","","","",19
"140","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"50","","","","",21
"52","","","","",22
"54","","","","",23
"141","Federal Register Citation for NPRM: None","","","",24
"142","Federal Aviation Administration","","","",1
"145","Popular Title: Part 121, Subparts N and O","","Qualification, Service, and Use of Crewmembers and Aircraft Dispatchers","Red",2
"146","RIN 2120-AJ00","","","",3
"147","Stage: SNPRM","","","",4
"148","Previous Stage: NPRM: Publication Date 01/12/2009;End of Comment Period 05/12/2009;Extension of Comment Period 04/20/2009;End of Extension of Comment Period 08/10/2009.","","","",5
"149","Abstract: This rulemaking would amend the regulations for crewmember and dispatcher training programs in domestic, flag, and supplemental operations. The rulemaking would enhance traditional training programs by requiring the use of flight simulation training devices for flight crewmembers and including additional training requirements in areas that are critical to safety. The rulemaking would also reorganize and revise the qualification and training requirements. The changes are intended to contribute significantly to reducing aviation accidents.","","","",6
"151","Effects:","","","",7
"152","Economically Significant Major","Economically Significant Major","","",8
"153","Regulatory Flexibility Act Information Collection","Regulatory Flexibility Act Information Collection","","",9
"49","","","","",10
"527","","","","",11
"55","","","","",12
"58","","","","",13
"61","","","","",14
"154","Prompting action: None","","","",15
"155","Legal Deadline: None","","","",16
"156","Rulemaking Project Initiated: 03/12/1999","","","",17
"157","Docket Number: FAA-2008-0677","","","",18
"158","Dates for SNPRM:","","","",19
"169","Explanation for any delay: Additional coordination necessary Federal Register Citation for SNPRM: None  ","","","",20
"82","","","","",21
"85","","","","",22
"88","","","","",23
"170","Federal Register Citation for SNPRM: None","","","",24
"171","Federal Aviation Administration","","","",1
"174","Popular Title: SMS","","Safety Management Systems (SMS)","Black",2
"175","RIN 2120-AJ15","","","",3
"176","Stage: Undetermined","","","",4
"177","Previous Stage: ANPRM: Publication Date 7/23/2009; End of Comment Period 10/21/2009.","","","",5
"178","Abstract: This rulemaking would require a Safety Management System (SMS) for FAA certificate holders, certain product manufacturers, applicants, and employers. This action is being taken to further enhance the practice of managing safety, conducting risk and system assessments and analysis, undertaking preventive and corrective actions, and creating a safety culture. The intended effect of this action would make the United States compliant with International Civil Aviation Organization (ICAO) annexes.","","","",6
"179","Effects:","","","",7
"180","Information Collection","Information Collection","","",8
"72","","","","",9
"76","","","","",10
"80","","","","",11
"84","","","","",12
"884","","","","",13
"92","","","","",14
"181","Prompting action: None","","","",15
"182","Legal Deadline: NPRM : 07/23/2011 Rulemaking Project Initiated: 09/25/2007 Docket Number: FAA-2009-0671","","","",16
"96","Rulemaking Project Initiated: Unknown","","","",17
"97","Docket Number: Unknown","","","",18
"183","Dates for Undetermined:","","","",19
"190","Explanation for any delay: N/A Federal Register Citation for Undetermined: None  ","","","",20
"11010","","","","",21
"11410","","","","",22
"1181","","","","",23
"191","Federal Register Citation for Undetermined: None","","","",24
"192","Federal Aviation Administration","","","",1
"195","Popular Title: PIC Proficiency","","Pilot-in-Command Proficiency Check and Other Changes to the Pilot and Pilot School Certification Rules","Yellow",2
"196","RIN 2120-AJ18","","","",3
"197","Stage: Final Rule","","","",4
"198","Previous Stage: NPRM: Publication Date 08/31/2009; End of Comment Period 11/30/2009","","","",5
