National Highway Traffic Safety Administration ,,,,,,,,,,,,,
Popular Title: Tire Identification and Recordkeeping,,"Tire Identification and Recordkeeping, 49 CFR Part 574 ",Green,,,,,,,,,,
RIN 2127-AK11,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 01/24/2008; End of NPRM Comment Period 03/24/2008.,,,,,,,,,,,,,
"Abstract: This rulemaking would allow additional electronic methods (Internet, etc.) to be used for tire registration, in addition to the currently-required paper forms, in order to reduce the paperwork burden as directed under the Paperwork Reduction Act. 49 CFR Part 574 sets tire registration requirements for tire company-owned tire dealers and for independent tire dealers.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Information Collection EU,,,,,,,,,,,,,
NAFTA,,,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/19/2007,,,,,,,,,,,,,
Docket Number: NHTSA-2008-0014,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,,
To OST,10/2/08,,,10/10/08,,,,,,,,,
To OMB,11/10/08,,,11/21/08,,,,,,,,,
OMB Clearance,2/15/09,,,2/20/09,,,,,,,,,
Publication Date,2/28/09,,,2/27/09,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,
Ejection Mitigation,,,,,,,,,,,,Red,
52,,,,,,,,,,,,,
Popular Title: Ejection Mitigation,,,,,,,,,,,,,
RIN 2127-AK23,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
