Created by Online2PDF.com,,,,,,,,,,,
Risk Reduction Program,,,,,,,,,,Green,
46.,,,,,,,,,,,
Popular Title: Risk Reduction Program,,,,,,,,,,,
RIN 2130-AC11,,,,,,,,,,,
Stage: ANPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would require railroads to submit Risk Reduction Programs for review and approval to the FRA Administrator. These programs would be reviewed for annual compliance. The rulemaking would also ensure that railroads comply with their Positive Train Control (PTC) schedules and ensure railroads implement PTC by December 31, 2018, except as required by ¤ 104 of the Rail Safety Improvement Act of 2008.",,,,,,,,,,,
Effects:,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Final Rule : 10/16/2012 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0038,,,,,,,,,,,
Dates for ANPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,04/02/2010,,,,,,,,,
To OMB,,05/03/2010,,,,,,,,,
OMB Clearance,,05/17/2010,,,,,,,,,
Publication Date,,05/25/2010,,,,,,,,,
End of Comment Period,,07/26/2010,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for ANPRM: None,,,,,,,,,,,
Hours of Service - Passenger Train Employees,,,,,,,,,,Green,
47.,,,,,,,,,,,
Popular Title: Hours of Service - Passenger Train Employees,,,,,,,,,,,
RIN 2130-AC15,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
Abstract: This rulemaking would establish hours of service requirements for train employees engaged in commuter and intercity passenger rail transport.,,,,,,,,,,,
Effects:,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,
Information Collection,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Final Rule : 10/16/2011 Rulemaking Project Initiated: 10/16/2008 Docket Number:,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,11/12/2009,,,,,,,,,
To OMB,,12/10/2009,,,,,,,,,
OMB Clearance,,03/10/2010,,,,,,,,,
Publication Date,,03/18/2010,,,,,,,,,
End of Comment Period,,05/18/2010,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Maritime Administration,,,,,,,,,,,
"Regulations To Be Followed by All Departments, Agencies and Shippers Having Responsibility To Provide a Preference for U.S.-Flag Vessels in the Shipment of Cargoes on Ocean Vessels.",,,,,,,,,,Black,
48.,,,,,,,,,,,
Popular Title: Cargo Preference,,,,,,,,,,,
RIN 2133-AB74,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 03/04/09; End of Comment Period 05/04/09,,,,,,,,,,,
Abstract: This rulemaking would revise and clarify the Cargo Preference rules that have not been revised substantially since 1971. Revisions would include an updated purpose and definitions section along with the removal of obsolete provisions.,,,,,,,,,,,
Effects:,,,,,,,,,,,
Information Collection Foreign,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 08/21/2008,,,,,,,,,,,
Docket Number:,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,,,,,,,,,,
To OMB,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,
Publication Date,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,
"Cargo Preference - Compromise, Assessment, Mitigation, Settlement & Collection of Civil Penalties",,,,,,,,,Yellow,,
49.,,,,,,,,,,,
Popular Title: Cargo Preference Statutory Changes,,,,,,,,,,,
RIN 2133-AB75,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would establish Part 383 of the Cargo Preference regulations. This rulemaking would cover P.L. 110-417, Section 3511 National Defense Authorization Act for FY2009 statutory changes to the cargo preference rules, which have not been substantially revised since 1971. The rulemaking also would include compromise, assessment, mitigation, settlement, and collection of civil penalties.",,,,,,,,,,,
Effects:,,,,,,,,,,,
Regulatory Flexibility Act Information Collection Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 01/16/2009,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,06/16/2009,,11/02/2009,,,,,,,
To OMB,,07/16/2009,,12/01/2009,,,,,,,
OMB Clearance,,10/16/2009,,03/05/2010,,,,,,,
Publication Date,,10/21/2009,,03/31/2010,,,,,,,
End of Comment Period,,12/21/2009,,05/31/2010,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
