Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,
Report on DOT Significant Rulemakings,,,,,,,,,,,,,,,,,,,,,
Table of Contents,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
"1. Qualification, Service, and Use of Crewmembers and Aircraft Dispatchers",,,,,,,,,,,,,,,,,,,,,
2. Certification of Turbofan Powered Airplanes and Miscellaneous Amendments,,,,,,,,,,,,,,,,,,,,,
3. Supercooled Large Droplet Icing Conditions,,,,,,,,,,,,,,,,,,,,,
4. Airport Safety Management System,,,,,,,,,,,,,,,,,,,,,
5. Photo Requirements for Pilot Certificates,,,,,,,,,,,,,,,,,,,,,
6. Air Ambulance and Commercial Helicopter Operations; Safety Initiatives and Miscellaneous Amendments,,,,,,,,,,,,,,,,,,,,,
7. Flight and Duty Time Limitations and Rest Requirements,,,,,,,,,,,,,,,,,,,,,
8. Operation and Certification of Small Unmanned Aircraft Systems (sUAS),,,,,,,,,,,,,,,,,,,,,
9. Repair Stations,,,,,,,,,,,,,,,,,,,,,
10. Pilot Certification and Qualification Requirements (formerly First Officer Qualification Requirements) (HR  5900),,,,,,,,,,,,,,,,,,,,,
11. Prohibition Against Certain Flights Within the Territory and Airspace of Afghanistan,,,,,,,,,,,,,,,,,,,,,
12. Requirement for Wildlife Assessments at Certificated Airports,,,,,,,,,,,,,,,,,,,,,
13. Regulation Of Flight Operations Conducted By Alaska Guide Pilots,,,,,,,,,,,,,,,,,,,,,
14. Air Carrier Maintenance Training Program,,,,,,,,,,,,,,,,,,,,,
15. Safety Management Systems for Part 121 Certificate Holders,,,,,,,,,,,,,,,,,,,,,
"16. Flight Crewmember Mentoring, Leadership and Professional Development (HR 5900)",,,,,,,,,,,,,,,,,,,,,
"17. New York Congestion Management Rule for LaGuardia Airport, John F. Kennedy International Airport, and  Newark Liberty International Airport",,,,,,,,,,,,,,,,,,,,,
18. Lavatory Oxygen Systems,,,,,,,,,,,,,,,,,,,,,
19. Part 121 Exiting Icing,,,,,,,,,,,,,,,,,,,,,
Federal Highway Administration,,,,,,,,,,,,,,,,,,,,,
20. National Tunnel Inspection Standards,,,,,,,,,,,,,,,,,,,,,
21. Lane Line Retroreflectivity,,,,,,,,,,,,,,,,,,,,,
22. National Standards for Traffic Control Devices; the Manual on Uniform Traffic Control Devices for Streets  and Highways; Engineering Judgments (RRR),,,,,,,,,,,,,,,,,,,,,
23. National Standards for Traffic Control Devices; the Manual on Uniform Traffic Control Devices for Streets  and Highways; Compliance Dates Revision (RRR),,,,,,,,,,,,,,,,,,,,,
Federal Motor Carrier Safety Administration,,,,,,,,,,,,,,,,,,,,,
24. Unified Registration System,,,,,,,,,,,,,,,,,,,,,
