Created by Online2PDF.com,,,,,,,,,,,,,,,,,
66.,,,,,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,,,,,
Motorcoach Rollover Structural Integrity,,,,,,,,,,,,,,,,,Red
Popular Title: Motorcoach Rollover Structural Integrity,,,,,,,,,,,,,,,,,
RIN 2127-AK96,,,,,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would promulgate a new FMVSS for rollover structural integrity requirements for motorcoaches. In August 2007, NHTSA published a motorcoach safety plan identifying four specific priority items: seat belts on motorcoaches, rollover structural integrity, emergency evacuation, and fire safety. The DOT published a comprehensive motorcoach safety action plan in November 2009 that reiterated NHTSA‰Ûªs motorcoach safety priorities. This rulemaking also addresses 6 recommendations issued by the NTSB on motorcoach roof strength and structural integrity.",,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 03/18/2011,,,,,,,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,,,,,,,
Milestone,,,Originally Scheduled Date,,,,New Projected Date,,,,Actual Date,,,,,,
To OST,,,08/12/2011,,,,10/28/2011,,,,11/10/2011,,,,,,
Returned to Mode,,,,,,,,,,,05/11/2012,,,,,,
To OMB,,,09/23/2011,,,,08/16/2012,,,,,,,,,,
OMB Clearance,,,12/23/2011,,,,11/15/2012,,,,,,,,,,
Publication Date,,,12/30/2011,,,,11/30/2012,,,,,,,,,,
End of Comment Period,,,03/02/2012,,,,01/30/2013,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,,,,,
Electronic Stability Control Systems for Heavy Vehicles,,,,,,,,,,,,,,,,,Red
67.,,,,,,,,,,,,,,,,,
Popular Title: Truck Tractor Electronic Stability Control,,,,,,,,,,,,,,,,,
RIN 2127-AK97,,,,,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,,,,,
